,Country,Date,SpecialDay
5,UAE,03/12/2022,National Day
6,UAE,02/12/2022,National Day
7,UAE,01/12/2022,Commemoration Day
10,UAE,08/10/2022,Prophet's Birthday
17,UAE,30/07/2022,Islamic New Year
27,UAE,11/07/2022,Eid al-Adha
30,UAE,10/07/2022,Eid al-Adha
37,UAE,09/07/2022,Eid al-Adha
42,UAE,08/07/2022,Eid al-Adha
56,UAE,04/05/2022,Eid al-Fitr
57,UAE,03/05/2022,Eid al-Fitr
65,UAE,02/05/2022,Eid al-Fitr
66,UAE,01/05/2022,Eid al-Fitr
72,UAE,30/04/2022,Eid al-Fitr
85,UAE,03/12/2021,National Day
86,UAE,02/12/2021,National Day
87,UAE,01/12/2021,Commemoration Day
88,UAE,21/10/2021,Prophet's Birthday
95,UAE,12/08/2021,Islamic New Year
103,UAE,22/07/2021,Eid al-Adha
108,UAE,21/07/2021,Eid al-Adha
113,UAE,20/07/2021,Eid al-Adha
118,UAE,19/07/2021,Eid al-Adha
131,UAE,15/05/2021,Eid al-Fitr
136,UAE,14/05/2021,Eid al-Fitr
141,UAE,13/05/2021,Eid al-Fitr
146,UAE,12/05/2021,Eid al-Fitr
152,UAE,11/05/2021,Eid al-Fitr
165,UAE,02/12/2020,National Day
166,UAE,30/11/2020,Commemoration Day
168,UAE,29/08/2020,Prophet's Birthday
169,UAE,28/08/2020,Prophet's Birthday
170,UAE,21/08/2020,Islamic New Year
171,UAE,20/08/2020,Islamic New Year
172,UAE,19/08/2020,Islamic New Year
181,UAE,02/08/2020,Eid al-Adha
182,UAE,01/08/2020,Eid al-Adha
188,UAE,31/07/2020,Eid al-Adha
199,UAE,30/06/2020,Day of Arafat
200,UAE,29/06/2020,Day of Arafat
211,UAE,25/05/2020,Eid al-Fitr
213,UAE,24/05/2020,Eid al-Fitr
220,UAE,23/05/2020,Eid al-Fitr Eve
230,UAE,22/03/2020,Prophet's Ascension
231,UAE,21/03/2020,Prophet's Ascension
239,UAE,01/01/2020,New Year
242,UAE,31/12/2019,Winter Break
245,UAE,30/12/2019,Winter Break
250,UAE,29/12/2019,Winter Break
253,UAE,28/12/2019,Winter Break
258,UAE,27/12/2019,Winter Break
261,UAE,26/12/2019,Winter Break
266,UAE,25/12/2019,Winter Break
270,UAE,24/12/2019,Winter Break
275,UAE,23/12/2019,Winter Break
280,UAE,22/12/2019,Winter Break
283,UAE,21/12/2019,Winter Break
286,UAE,20/12/2019,Winter Break
287,UAE,19/12/2019,Winter Break
288,UAE,18/12/2019,Winter Break
290,UAE,17/12/2019,Winter Break
293,UAE,16/12/2019,Winter Break
294,UAE,15/12/2019,Winter Break
295,UAE,03/12/2019,National Day
296,UAE,02/12/2019,National Day
303,UAE,09/11/2019,The Prophet's Birthday
333,UAE,01/09/2019,Summer Break
337,UAE,31/08/2019,Summer Break
344,UAE,30/08/2019,Summer Break
349,UAE,29/08/2019,Summer Break
356,UAE,28/08/2019,Summer Break
361,UAE,27/08/2019,Summer Break
368,UAE,26/08/2019,Summer Break
373,UAE,25/08/2019,Summer Break
381,UAE,24/08/2019,Summer Break
386,UAE,23/08/2019,Summer Break
395,UAE,22/08/2019,Summer Break
400,UAE,21/08/2019,Summer Break
409,UAE,20/08/2019,Summer Break
414,UAE,19/08/2019,Summer Break
423,UAE,18/08/2019,Summer Break
428,UAE,17/08/2019,Summer Break
437,UAE,16/08/2019,Summer Break
442,UAE,15/08/2019,Summer Break
452,UAE,14/08/2019,Summer Break
457,UAE,13/08/2019,Summer Break
468,UAE,12/08/2019,Summer Break
473,UAE,11/08/2019,Summer Break
484,UAE,10/08/2019,Summer Break
489,UAE,09/08/2019,Summer Break
500,UAE,08/08/2019,Summer Break
505,UAE,07/08/2019,Summer Break
516,UAE,06/08/2019,Summer Break
521,UAE,05/08/2019,Summer Break
532,UAE,04/08/2019,Summer Break
537,UAE,03/08/2019,Summer Break
548,UAE,02/08/2019,Summer Break
553,UAE,01/08/2019,Summer Break
564,UAE,31/07/2019,Summer Break
569,UAE,30/07/2019,Summer Break
580,UAE,29/07/2019,Summer Break
585,UAE,28/07/2019,Summer Break
596,UAE,27/07/2019,Summer Break
601,UAE,26/07/2019,Summer Break
612,UAE,25/07/2019,Summer Break
617,UAE,24/07/2019,Summer Break
628,UAE,23/07/2019,Summer Break
633,UAE,22/07/2019,Summer Break
644,UAE,21/07/2019,Summer Break
649,UAE,20/07/2019,Summer Break
660,UAE,19/07/2019,Summer Break
665,UAE,18/07/2019,Summer Break
676,UAE,17/07/2019,Summer Break
681,UAE,16/07/2019,Summer Break
692,UAE,15/07/2019,Summer Break
697,UAE,14/07/2019,Summer Break
708,UAE,13/07/2019,Summer Break
713,UAE,12/07/2019,Summer Break
724,UAE,11/07/2019,Summer Break
729,UAE,10/07/2019,Summer Break
740,UAE,09/07/2019,Summer Break
745,UAE,08/07/2019,Summer Break
756,UAE,07/07/2019,Summer Break
761,UAE,06/07/2019,Summer Break
770,UAE,05/07/2019,Summer Break
775,UAE,04/07/2019,Summer Break
784,UAE,03/07/2019,Summer Break
789,UAE,02/07/2019,Summer Break
798,UAE,01/07/2019,Summer Break
954,UAE,14/04/2019,Spring Break
955,UAE,13/04/2019,Spring Break
958,UAE,12/04/2019,Spring Break
959,UAE,11/04/2019,Spring Break
962,UAE,10/04/2019,Spring Break
963,UAE,09/04/2019,Spring Break
966,UAE,08/04/2019,Spring Break
967,UAE,07/04/2019,Spring Break
969,UAE,06/04/2019,Spring Break
970,UAE,05/04/2019,Spring Break
973,UAE,04/04/2019,Spring Break
974,UAE,03/04/2019,Spring Break
978,UAE,02/04/2019,Spring Break
979,UAE,01/04/2019,Spring Break
982,UAE,31/03/2019,Spring Break
